Sanskrit_Romanized,Sanskrit_Devanagari,Extended_English_Translation
"lokāyatika-pakṣe tu tattvaṁ bhūta-catuṣṭayam |
pṛthivy-āpas tathā tejo vāyur ity eva nāparam ||1||","लोकायतिक-पक्षे तु तत्त्वं भूत-चतुष्टयम् ।
प्ड़्थिव्य्-आपस् तथा तेजो वायुर् इत्य् ऐव नापरम् ||१||","1. According to the doctrine of the Lokayatikas, the ultimate principles are merely the four elements, viz., earth, water, fire, and air, and there is nothing else."
"pratyakṣa-gamyam evāsti nāsty adṛṣṭam adṛṣṭataḥ |
adṛṣṭa-vādibhiś cāpi nādṛṣṭaṁ dṛṣṭam ucyate ||2||","प्रत्यक्ष-गम्यम् ऐवास्ति नास्त्य् अद्ड़्ष्टम् अद्ड़्ष्टतः ।
अद्ड़्ष्ट-वादिभिश् चापि नाद्ड़्ष्टं द्ड़्ष्टम् उच्यते ||२||","2. Whatever is arrived at by means of direct perception, that alone exists. That which is not perceivable is non-existent, for the (very) reason that it is not perceived. And even those, who maintain the (real existence of) adrsta (the unperceivable), do not say that what has not been perceived has been perceived."
"kvāpi dṛṣṭam adṛṣṭaṁ ced adṛṣṭaṁ bruvate katham |
nityādṛṣṭaṁ katham matsyāt śaśa-śṛṅgādibhiḥ samam ||3||","क्वापि द्ड़्ष्टम् अद्ड़्ष्टं चेद् अद्ड़्ष्टं ब्रुवते कथम् ।
नित्याद्ड़्ष्टं कथम् मत्स्यात् शश-श्ड़्ङ्गादिभिः समम् ||३||","3. If what is rarely seen here and there is taken to be the unperceivable, how can they (really) call it as the unperceivable? How can that, which is always unseen, like the (ever unseen) horns of a hare, and other such things, be what is really existent?"
"na kalpyo sukha-duḥkhābhyāṁ dharmādharmau parair iha |
svabhāvena sukhī duḥkhī jano’nyatraiva kāraṇam ||4||","न कल्प्यो सुख-दुःखाभ्यां धर्माधर्मौ परैर् इह ।
स्वभावेन सुखी दुःखी जनोऽन्यत्रैव कारणम् ||४||","4. In consequence of (the existence of) pleasure and pain, merit and demerit should not be here (in this connection) postulated by others. A man feels pleasure or pain by nature, and there is no other cause (for it)."
"śikhinaś citrayet ko vā kokilān kaḥ prakūjayet |
svabhāva-vyatirekeṇa vidyate nātra kāraṇam ||5||","शिखिनश् चित्रयेत् को वा कोकिलान् कः प्रकूजयेत् ।
स्वभाव-व्यतिरेकेण विद्यते नात्र कारणम् ||५||","5. Who colours wonderfully the peacocks, or who makes the cuckoos coo so well? There is in respect of these (things) no cause other than nature."
"sthūlo’haṁ taruṇo vṛddho yuvety ādi-viśeṣaṇaiḥ |
viśiṣṭo deha evātmā na tato’nyo vilakṣaṇaḥ ||6||","स्थूलोऽहं तरुणो व्ड़्द्धो युवेत्य् आदि-विशेषणैः ।
विशिष्टो देह ऐवात्मा न ततोऽन्यो विलक्षणः ||६||","6. The atmnan (or self) is the body itself, which is characterised by such attributes as are implied in the expressions -- 'I am stout', 'I am young', 'I am old', 'I am an adult', etc. It is nothing else which is distinct from that (body)."
"jaḍa-bhūta-vikāreṣu caitanyaṁ yat tu dṛśyate |
tāmbūla-pūga-cūrṇānāṁ yogād rāga ivotthitam ||7||","जड-भूत-विकारेषु चैतन्यं यत् तु द्ड़्श्यते ।
ताम्बूल-पूग-चूर्णानां योगाद् राग इवोत्थितम् ||७||","7. That intelligence, which is found to be embodied in the (various) modified forms consisting of the non-intelligent elements -- (that) is produced in the same way in which red colour is produced from the combination of betel, areca-nut and lime."
"iha-lokāt paro nānyaḥ svargo’sti narako na vā |
śiva-lokādayo mūḍhaiḥ kalpyante’nyaiḥ pratārakaiḥ ||8||","इह-लोकात् परो नान्यः स्वर्गोऽस्ति नरको न वा ।
शिव-लोकादयो मूढैः कल्प्यन्तेऽन्यैः प्रतारकैः ||८||",8. Higher than this world there is none. There is no svarga (or celestial world of enjoyment) and no hell. The world of Siva and other such (worlds) are all invented by those who are (followers of) other (systems of thought) than (what is followed by)  ourselves and are (therefore) ignorant impostors.
"svargānubhūtir mṛṣṭāṣṭir dvyaṣṭa-varṣa-vadhū-gamaḥ |
sūkṣma-vastra-sugandha-srak-candanādi-niṣevaṇam ||9||","स्वर्गानुभूतिर् म्ड़्ष्टाष्टिर् द्व्यष्ट-वर्ष-वधू-गमः ।
सूक्ष्म-वस्त्र-सुगन्ध-स्रक्-चन्दनादि-निषेवणम् ||९||","9. The enjoyment of svarga consists in partaking of sweet food here, in enjoying the company of damsels of sixteen years of age, and also in enjoying the pleasures that are derivable from the use of fine clothes, sweet scents, flower garlands, sandal, and such other things (of delicious luxury)."
"narakānubhavo vairi-śastra-vyādhy-ādy-upadravaḥ |
mokṣas tu maraṇaṁ tac ca prāṇa-vāyu-nivartanam ||10||","नरकानुभवो वैरि-शस्त्र-व्याध्य्-आद्य्-उपद्रवः ।
मोक्षस् तु मरणं तच् च प्राण-वायु-निवर्तनम् ||१०||","10. The experience of (the miseries of) hell consists (only) in the pain caused by enemies, by injurious weapons, by diseases and other causes of suffering. The final beatitude of moksa is, however, death (itself); and that consists in the cessation of (breath) the principal vital air."
"atas tad-arthaṁ nāyāsaṁ kartum arhati paṇḍitaḥ |
tapobhir upavāsādyair mūḍha eva praśuṣyati ||11||","अतस् तद्-अर्थं नायासं कर्तुम् अर्हति पण्डितः ।
तपोभिर् उपवासाद्यैर् मूढ ऐव प्रशुष्यति ||११||","11. Therefore it is not proper on the part of a wise man to take (any) trouble on account of this (final beatitude). It is only a fool that becomes thin and worn out to dryness by performing penances, and by fasting, etc."
"pātivratyādi-saṅketo buddhimad-durbalaiḥ kṛtaḥ |
suvarṇa-bhūmi-dānādi mṛṣṭāmantraṇa-bhojanam |
kṣut-kṣāma-kukṣibhir lokair daridrair upakalpitam ||12||","पातिव्रत्यादि-सङ्केतो बुद्धिमद्-दुर्बलैः क्ड़्तः ।
सुवर्ण-भूमि-दानादि म्ड़्ष्टामन्त्रण-भोजनम् ।
क्षुत्-क्षाम-कुक्षिभिर् लोकैर् दरिद्रैर् उपकल्पितम् ||१२||","12. Chastity and other such (cunning) conventions have been invented by clever weaklings. Gifts of gold and of lands, etc., the enjoying of sweet dinners on invitation, are all the devices of persons who are poor and have stomachs that are (ever) lean with hunger."
"devālaya-prayā-satra-kūpārāmādi-karmaṇām |
praśaṁsā kurvate nityaṁ pānthā eva na cāpare ||13||","देवालय-प्रया-सत्र-कूपारामादि-कर्मणाम् ।
प्रशंसा कुर्वते नित्यं पान्था ऐव न चापरे ||१३||","13. With respect to temples, houses for the distribution of drinking water to travellers, tanks, wells, pleasure-gardens, and other such devices -- only travellers praise them daily, (but) not others."
"agnihotraṁ trayo vedās tridaṇḍaṁ bhasma-guṇṭhanam |
buddhi-pauruṣa-hīnānāṁ jīviketi bṛhaspatiḥ ||14||","अग्निहोत्रं त्रयो वेदास् त्रिदण्डं भस्म-गुण्ठनम् ।
बुद्धि-पौरुष-हीनानां जीविकेति ब्ढ़स्पतिः ||१४||","14. The ritual of Agnihotra, the three Vedas, the (ascetic's) triple staff, the smearing of one's self with ashes are all (merely) means of livelihood to those who are destitute of intelligence and energy : so opines Brhaspati."
"kṛṣi-gorakṣa-vāṇijya-daṇḍa-nīty-ādibhir budhaḥ |
dṛṣṭair eva sadopāyair bhogān anubhaved bhuvi ||15||","क्ड़्षि-गोरक्ष-वाणिज्य-दण्ड-नीत्य्-आदिभिर् बुधः ।
द्ड़्ष्टैर् ऐव सदोपायैर् भोगान् अनुभवेद् भुवि ||१५||","15. By adopting only those means which are seen (to be practical) such as agriculture, the tending of cattle, trade, politics and administration, etc., a wise man should always (endeavour to) enjoy pleasures (here) in this world."
